Lender,IDs,Loan Count,Total Amount,Total Employees,Traditional
"	Yankee Farm Credit, ACA",[529007],227,12960378.229999999,1680.0,0
121 Financial Credit Union,[94293],849,54531420.0,7726.0,1
1st Advantage Bank,[433128],199,27892692.99,3134.0,1
1st Bank Yuma,[233059],465,50098700.0,7309.0,1
1st Bank of Sea Isle City,[87061],107,4524353.17,956.0,1
1st Bergen FCU,[464550],93,1613583.0,159.0,0
1st Capital Bank,[447232],704,165025751.10999998,15339.0,1
1st Choice CU,[95038],931,15639876.309999999,2092.0,0
1st Colonial Community Bank,[124545],958,94366189.12,9067.0,1
1st Community Bank,[22568],139,3896717.32,407.0,1
1st Equity Bank,[121519],165,20579291.54,2089.0,1
1st Financial Bank USA,[66497],246,6537212.0,566.0,1
1st MidAmerica CU,[95870],185,5812639.5,811.0,0
1st National Bank,[57878],341,15499424.47,1910.0,1
1st Security Bank of Washington,[107784],796,125386732.25,12215.0,1
1st Source Bank,[24195],6581,856364295.18,96683.0,1
1st State Bank,[378002],857,132489651.37,13221.0,1
1st Summit Bank,[65256],977,81471310.92,11538.0,1
"1st Trust Bank, Inc.",[426685],227,22129734.59,2360.0,1
1st United Bank,[88765],203,15695551.350000001,2344.0,1
21st Century Bank,[36718],1025,115333958.6,12077.0,1
22nd State Bank,[2082],422,16806841.57,1705.0,1
360 FCU,[93586],36,2173961.39,256.0,0
4Front Credit Union,[98980],506,14666830.92,2559.0,1
5Star Bank,[110204],265,50820096.61000001,4972.0,1
A N E C A FCU,[97538],447,13486225.0,2270.0,0
"A10Capital, LLC",[530323],16470,629019022.6100001,63840.0,0
AB&T,[123991],269,35588745.2,3737.0,1
ABNB FCU,[107222],472,20046531.2,3091.0,0
ACNB Bank,[60227],2161,220127162.67,25004.0,1
ACT 1st FCU,[98020],58,1193176.62,245.0,0
AEA FCU,[91255],83,2858133.71,637.0,0
AG CREDIT ACA,[528997],3214,64347853.870000005,5950.0,0
AMG National Trust Bank,[227670],56,18632206.29,1614.0,1
"AMPAC Tri-State CDC, Inc.",[447142],643,13396003.13,1523.0,0
ANB Bank,[15169],3598,371561032.1599999,38966.0,1
"ANZ Guam, Inc",[117057],260,18781368.82,4722.0,0
Abacus Federal Savings Bank,[90626],192,5491713.0,1346.0,1
Abanca Corporation,[531122],1,1373330.0,129.0,0
Abington Bank,[89069],622,41253488.16,4845.0,1
"Academy Bank, National Association",[15727],2311,265938043.05999997,32246.0,0
Acadia FCU,[97901],398,11270919.66,1521.0,0
Access Bank,[452526],992,118527798.58,13886.0,1
Access to Capital for Entrepreneurs,[428018],643,15000214.589999998,2331.0,0
Achieva CU,[94636],1398,58336251.19,7815.0,0
Adams Bank & Trust,[42396],1532,93971747.48999998,10943.0,1
Adams Community Bank,[30944],495,34130728.44,4667.0,1
Adams County Bank,[42262],302,6709983.45,860.0,1
Addition Financial CU,[94548],951,31011243.38,4614.0,0
Adirondack Bank,[120225],1339,117120304.09,15929.0,1
Adirondack Regional FCU,[101910],156,9274328.05,1182.0,0
Adrian Bank,[40080],255,5289673.23,670.0,1
Adrian State Bank,[36578],61,1332257.81,212.0,1
Adventure CU,[99179],152,3547757.02,547.0,0
Advia Credit Union,[99353],1343,50394659.15,7204.0,1
Affinity Bank,[81965],1808,196742776.24999997,19209.0,0
Affinity FCU,[102038],1568,90831516.49000001,9502.0,0
Affinity Plus FCU,[99876],1103,17903399.85,2636.0,0
"AgCarolina Farm Credit, ACA",[528975],938,22117135.25,3315.0,1
AgChoice ACA,[472693],909,57929037.589999996,6690.0,0
"AgCountry Farm Credit Service, PCA",[528976],3750,86657489.78,8155.0,0
"AgSouth Farm Credit, ACA",[238223],300,13388626.6,1651.0,0
AlaTrust CU,[90851],43,1561494.99,181.0,0
Alabama CU,[90799],263,5666385.98,933.0,0
Alabama Central CU,[90792],89,2645066.08,271.0,0
Alabama Teachers CU,[90919],193,14825433.16,2126.0,0
Alamosa State Bank,[15017],264,15826676.98,1958.0,1
"Albany Bank and Trust Company, National Association",[21011],271,38923154.769999996,4486.0,0
Alden State Bank,[33523],286,23097797.98,3234.0,1
"Alerus Financial, National Association",[52795],2708,528688627.87,50943.0,1
Algonquin State Bank,[20200],266,11401895.67,1325.0,1
All In FCU,[90825],448,7564900.0,1298.0,0
Allegacy FCU,[102274],330,19813892.88,2662.0,0
Alliance Bank,"[71939, 122323, 38294, 123049, 23147, 76543]",3185,223433360.22000003,25947.0,1
Alliance Bank & Trust Company,[388147],224,26337935.09,3388.0,1
Alliance Bank Central Texas,[70518],332,18248992.779999997,2186.0,1
Alliance CU,[100146],517,21951747.72,3426.0,0
Alliance Catholic CU,[99499],55,4107223.0,644.0,0
Alliance Community Bank,[20268],404,11738862.19,1519.0,1
Alliant Bank,[41091],588,22247855.52,2892.0,1
Allied First Bank,[118903],307,24699027.57,2571.0,0
Alloya Corporate FCU,[486599],9,6479020.95,381.0,0
Alltru FCU,[100134],16,691815.0,155.0,0
Ally Bank,[426652],1058,808458791.33,65983.0,1
Alma Bank,[450640],392,79771252.48,7898.0,1
Alpine Bank,[15517],5904,466248521.29,57240.0,1
Alpine Capital Bank,[124512],185,30359879.66,3230.0,1
AltCap PPP Lending,[529671],369,7506441.02,1116.0,0
Altamaha Bank & Trust Company,[19765],290,19808202.14,3023.0,0
Altana FCU,[100413],143,3408063.07,481.0,0
Alternatives FCU,[109558],323,11965646.82,2048.0,0
Altoona First Savings Bank,[77564],250,13952309.120000001,2274.0,1
Altra FCU,[108443],927,40887907.28,6076.0,0
Alva State Bank & Trust Company,[58720],734,28527277.12,3639.0,1
Amalgamated Bank,[47473],196,45273024.5,3019.0,1
Amalgamated Bank of Chicago,[20494],65,16367767.54,1495.0,1
Amarillo National Bank,[68966],4772,601822172.6399999,60274.0,1
Ambler Savings Bank,[80047],583,45668982.0,5081.0,1
Amboy Bank,[43940],1286,138524847.97,17620.0,1
"Amerant Bank, National Association",[17356],3716,317449291.8899999,37775.0,1
Amerasia Bank,[112305],446,33879866.86,3702.0,1
AmeriFirst Bank,[3328],265,19520645.45,2841.0,1
AmeriServ Financial Bank,[60613],694,101240536.0,13547.0,1
AmeriState Bank,[58753],611,23222900.750000004,2891.0,1
America First FCU,[106784],4739,183678639.17000002,28244.0,0
America's Christian CU,[92358],966,83426670.0,10278.0,0
American AgCredit ACA,[199790],872,165221641.98000002,18782.0,0
American Bank,"[121552, 41882, 28188]",1877,180287061.50999996,19791.0,1
American Bank & Trust,[66723],2414,103053712.67,11327.0,1
American Bank & Trust Company,[29195],221,13579832.21,2082.0,1
"American Bank & Trust Company, Inc.",[124751],559,46294056.36,5580.0,0
American Bank and Trust Company,[59341],246,31096414.549999997,3085.0,1
"American Bank and Trust Company, National Association",[123981],166,25605869.5,3144.0,1
American Bank of Baxter Springs,[25698],150,4440501.609999999,530.0,1
American Bank of Commerce,[72188],1456,191583300.27,21903.0,1
American Bank of Missouri,[41755],504,55040611.82,6283.0,0
American Bank of the Carolinas d/b/a American Bank,[525602],190,14077624.7,1708.0,0
"American Bank, National Association","[69225, 25420, 69654, 72071]",3771,425884402.83000004,50847.0,1
American Business Bank,[123001],1551,940074389.12,70258.0,1
"American Commerce Bank, National Association",[398147],249,17761469.98,2470.0,1
"American Commercial Bank & Trust, National Association",[22237],1092,318036012.27,26257.0,1
American Community Bank,[124208],831,49436449.68,5927.0,1
American Community Bank & Trust,[124396],1239,304700159.27,23879.0,1
American Community Bank of Indiana,[84416],569,37563824.11,4526.0,1
American Continental Bank,[338102],86,8074579.51,1092.0,1
American Eagle Bank,[282588],100,8087132.0,873.0,1
American Exchange Bank,"[42160, 58994]",281,11134456.74,1276.0,1
American Express National Bank,[113190],6777,676776634.8800001,71680.0,1
American Federal Bank,[81371],1333,66653876.9,7687.0,1
American First National Bank,[122640],557,28367282.259999998,5358.0,1
American Heritage Bank,"[59275, 203973]",974,69023437.17,7753.0,1
American Heritage FCU,[103998],640,43688679.31,5777.0,0
American Heritage National Bank,[38326],643,50877973.26,6262.0,1
American Lending Center,[530223],17854,533759688.84,49404.0,0
American Metro Bank,[121047],147,6096030.390000001,1053.0,1
American Momentum Bank,[444341],2224,402306302.85999995,37647.0,1
American National Bank,"[17509, 42407]",3175,545497167.89,55659.0,1
American National Bank and Trust Company,[73215],3084,360315581.79,47670.0,1
American National Bank of Minnesota,[117900],360,33493233.08,3861.0,1
American Partners FCU,[109694],257,7883344.0,1025.0,0
"American Plus Bank, National Association",[449416],99,9024747.350000001,1705.0,1
American Pride Bank,[452636],276,11856410.690000001,2058.0,1
American Riviera Bank,[441973],1052,188579337.89,19684.0,1
"American Savings Bank, FSB",[112343],6086,542327270.37,65042.0,0
American Southwest CU,[91323],204,12927386.83,1513.0,0
American Spirit FCU,[93773],25,3073786.1399999997,487.0,0
American State Bank,"[68992, 25469, 25350]",3140,192368154.36999995,23384.0,1
American State Bank & Trust Company of Williston,[52987],438,59736157.519999996,4493.0,1
American State Bank of Grygla,[38198],119,2916854.0599999996,420.0,1
American United FCU,[106826],128,5619590.65,717.0,0
Americana Community Bank,[38900],275,19495084.849999998,2199.0,1
Americu CU,[101466],463,16008932.23,2624.0,0
Ameris Bank,[19595],13873,1504250441.41,186816.0,1
"Amur Equipment Finance, Inc.",[529652],20341,517952980.09000003,40654.0,0
Anchor Bank,[433872],342,21364303.180000003,2308.0,1
Anchor State Bank,[20220],180,19986165.07,1900.0,1
Anderson Brothers Bank,[66230],2848,134113049.0,21112.0,1
Anderson State Bank,[22227],98,2216115.25,274.0,1
Andover State Bank,[25665],430,40355081.15,5797.0,1
Androscoggin Savings Bank,[29743],787,101591529.97,11377.0,1
Anna State Bank,[20223],127,2512050.0,402.0,1
Anna-Jonesboro National Bank,[20222],285,9754438.129999999,1252.0,1
Anstaff Bank,[4348],1451,49133367.9,6779.0,1
Anthem Bank & Trust,[82812],72,3232895.89,404.0,1
Apex Bank,[66850],881,28696978.13,4153.0,1
Apple River State Bank,[20231],900,36080060.7,4629.0,1
Applied Bank,[120872],105,27867561.1,2710.0,1
Arbor Bank,[42371],1225,98923172.32,13075.0,1
Arbor Financial CU,[99414],265,7393224.0,1023.0,0
Arcadian Bank,[38215],467,27733311.660000004,2905.0,1
Arcata Economic Development Corporation,[188296],106,6761084.5,923.0,0
Arcola First Bank,[20234],80,2980834.0,389.0,1
Arizona Central CU,[91264],137,5148278.23,571.0,0
Arizona Financial Credit Union,[91374],723,62856239.400000006,7869.0,1
Arkansas Capital Corporation,[224779],1130,75261687.10999998,9807.0,0
Arlington Community FCU,[107066],263,8594430.5,935.0,0
Armor Bank,[121631],305,22340650.510000005,2631.0,1
Armstrong Bank,[59482],3859,146797221.75,20067.0,1
Aroostook County Federal Savings & Loan Association,[89182],102,6846032.0,1220.0,1
Arrha CU,[98571],12,559571.0,49.0,0
Arsenal CU,[100087],359,9131935.4,1154.0,0
Arthur State Bank,[66364],469,36515813.77,5225.0,1
Arundel Federal Savings Bank,[80108],69,2886093.7,375.0,1
Arvest Bank,[4282],25353,1627759794.66,207531.0,1
Ascendus,[466156],1943,29178976.46,3826.0,0
Ascent Bank,[41941],151,15816701.17,2346.0,1
Ascentra CU,[96846],170,2911671.1399999997,445.0,0
Ashton State Bank,[24568],150,2977573.8600000003,282.0,1
Asian Bank,[123090],482,26705801.53,4134.0,1
Aspire Bank,[52841],221,17210350.05,1889.0,1
Assemblies of God CU,[100168],226,14178285.970000003,2190.0,0
"Associated Bank, National Association",[75939],13075,1335944734.98,148291.0,1
Astera CU,[98688],265,7853440.630000001,1122.0,0
Astra Bank,[25706],581,27604063.58,3395.0,1
Athol Savings Bank,[30964],289,21514839.0,2823.0,1
Atkins Savings Bank & Trust,[24569],332,7672977.43,1066.0,1
Atlantic Regional FCU,[97969],507,13864750.0,1829.0,0
Atlantic Union Bank,[122517],16514,2195160359.77,230151.0,1
Auburn Banking Company,[26775],220,6572776.899999999,781.0,1
"Auburn Savings Bank, FSB",[79042],131,9996199.66,1162.0,1
Auburn State Bank,[42049],286,7938350.289999999,837.0,1
AuburnBank,[44],653,56515640.0,8227.0,1
Audubon State Bank,[24572],232,9694675.0,1187.0,1
"Austin Bank, Texas National Association",[70468],3123,211832754.05999997,26655.0,1
Austin County State Bank,[448034],628,53329621.44,5633.0,1
Avadian CU,[91100],220,6382112.0,1040.0,0
Availa Bank,[24654],2075,107622091.36,13590.0,1
Avidbank,[338061],97,60721377.58,4497.0,1
Avidia Bank,[32883],2840,296382795.6399999,27909.0,1
Awakon FCU,[99233],185,4289556.17,651.0,0
"Axiom Bank, National Association",[88833],460,91083780.58999997,9243.0,1
Axos Bank,[124650],862,183407293.71999994,16019.0,1
B2 Bank National Association,[36695],60,3912099.2800000003,636.0,1
B:Side Capital,[188319],581,17042820.48,2262.0,0
BAC Community Bank,[14851],676,110520674.0,11741.0,1
BANK,[25274],156,9535424.82,1049.0,1
BANK 21,[40155],200,9762662.61,1052.0,1
BANKWEST,[38796],364,22703239.5,2444.0,1
BCB Community Bank,[203241],1060,128149099.55,16114.0,1
BLC Community Bank,[76088],517,49856890.0,5646.0,1
BMO Harris Bank National Association,[21442],64729,10304279928.419998,1010159.0,0
"BMW Bank of North America, Inc.",[124203],32,32490873.130000003,2285.0,0
BNA Bank,[39647],979,42416996.1,5757.0,1
BNC National Bank,[224982],1349,150880580.0,18457.0,1
BOC Bank,[71426],850,58091799.63000001,6667.0,1
BOC Capital Corportion,[445285],1312,35770845.739999995,3909.0,0
"BOKF, National Association",[59358],11645,2759981248.9399996,251621.0,1
BOM Bank,[28699],1795,149138252.41,17693.0,1
"BSD Capital, LLC dba Lendistry",[514546],126664,2680362534.5,174864.0,0
BTC Bank,[40134],1830,38642688.14,4420.0,1
Ballston Spa National Bank,[46038],560,46351906.349999994,6223.0,1
"Banc of California, National Association",[92611],2863,781413995.7799999,73450.0,1
"BancCentral, National Association",[58723],907,27271947.31,2635.0,1
BancFirst,[112722],14100,1213593869.8600001,138805.0,1
Banco Popular de Puerto Rico,[123840],36559,1673897170.19,362310.0,1
Banesco USA,[437582],915,115721998.53999999,14764.0,1
Bangor Savings Bank,[29389],7592,586158414.1400001,69570.0,1
Bank & Trust Company,[21798],396,23009653.65,3502.0,1
Bank 1st,[25600],220,4842256.44,582.0,1
Bank 34,[81318],383,55731634.55,6694.0,1
Bank 7,[59062],1113,114048674.13,10866.0,0
"Bank First, N.A.",[76173],4383,526284696.59,62150.0,0
Bank Five Nine,[76631],2217,191945826.51,31349.0,1
Bank Forward,[52827],1645,76848272.89000002,8547.0,1
Bank Hapoalim B.M. - New York Branch,[529613],29,7040614.6899999995,592.0,0
Bank Independent,[3273],3023,151809193.32,20115.0,1
Bank Iowa,[24768],2800,128794912.03,15054.0,1
Bank Michigan,[36187],426,36455736.0,4657.0,1
Bank Midwest,[38258],1839,91356106.33,10672.0,1
Bank Northwest,[41011],915,30700710.550000004,3844.0,1
Bank OZK,[4426],7479,617225932.1,80959.0,1
Bank Plus,[25519],388,8572715.629999999,1098.0,1
Bank Rhode Island,[120245],2824,535485416.93000007,57706.0,1
Bank Star,[41202],862,32234836.229999997,3797.0,1
Bank of 1889,[4145],253,5207033.32,697.0,1
Bank of Abbeville & Trust Company,[27999],211,17027355.009999998,2150.0,1
Bank of Alma,[75542],302,7865144.24,1015.0,1
"Bank of America, National Association",[9551],489916,34354360091.670006,4215049.0,1
Bank of Anguilla,[39075],202,5137358.779999999,960.0,1
Bank of Ann Arbor,[119903],3182,520909819.53,54737.0,1
Bank of Bartlett,[66771],1888,88030402.13,14235.0,1
Bank of Belle Glade,[16912],79,11828500.08,1726.0,1
Bank of Belleville,[436785],613,68603175.0,8248.0,1
Bank of Billings,[40137],201,4367871.89,685.0,1
Bank of Botetourt,[73136],780,47987432.24,7086.0,1
Bank of Bozeman,[434057],161,7833066.31,1046.0,1
"Bank of Brenham, N.A.",[528843],208,11203205.45,1481.0,0
Bank of Brewton,[1869],98,3659009.23,531.0,1
"Bank of Bridger, National Association",[77210],1068,45300318.05,5684.0,1
"Bank of Brookfield-Purdin, National Association",[41235],359,6956598.92,807.0,0
Bank of Brookhaven,[124386],139,7623470.16,1142.0,1
Bank of Camilla,[19181],161,7107360.73,1080.0,1
Bank of Cave City,[4191],185,4217407.279999999,557.0,1
Bank of Central Florida,[446773],762,125553631.0,13916.0,1
Bank of Charles Town,[75098],951,83239173.52,8443.0,1
Bank of China Limited,[111759],19,977188.64,81.0,1
Bank of Clarke,[73092],1343,123941894.0,13637.0,1
Bank of Cleveland,[111724],285,25471131.88,3395.0,1
Bank of Colorado,[15438],7997,702538894.8200002,77277.0,1
Bank of Columbia,[26897],864,17058902.36,2197.0,1
Bank of Commerce,"[25747, 77226, 39227, 296974, 58831]",2545,110015020.32000001,14260.0,1
Bank of Commerce & Trust Company,[28199],286,12789105.0,1713.0,1
Bank of Commerce and Trust Company,[26653],145,3558381.15,468.0,0
Bank of Coushatta,[28191],92,7057297.52,963.0,1
Bank of Crocker,[40409],178,5288202.109999999,748.0,1
"Bank of DeSoto, National Association",[69703],520,26319177.0,3742.0,1
Bank of Delight,[4227],246,7268997.510000001,1274.0,1
Bank of Dixon County,[42606],236,4816098.1899999995,550.0,1
Bank of Dudley,[19414],508,20853712.28,3039.0,1
Bank of Eastern Oregon,[59534],2122,136898816.04999998,16544.0,1
Bank of Elgin,[42158],282,5127618.84,510.0,1
Bank of England,[4273],253,11747265.54,1727.0,1
Bank of Erath,[28227],115,6869446.5,764.0,1
Bank of Evergreen,[1973],156,7116491.7299999995,849.0,1
Bank of Farmington,[21372],197,19410830.0,2480.0,1
Bank of Forest,[39214],315,7808080.0,1117.0,1
Bank of Franklin,[39593],501,14255288.07,1656.0,1
Bank of Franklin County,[194115],507,39810938.93,4752.0,1
Bank of Grand Lake,[434578],297,10343350.05,1344.0,1
Bank of Grandin,[40544],142,3852410.5599999996,652.0,1
Bank of Greeleyville,[65993],198,12788248.309999999,1728.0,1
Bank of Guam,[19845],1394,149159893.79,26030.0,1
Bank of Hartington,[42230],463,10319293.2,1108.0,1
Bank of Hawaii,[19948],7701,824230401.9699999,89336.0,1
Bank of Hays,[25944],880,56325896.0,6304.0,1
Bank of Hazelton,[52842],39,1909724.51,164.0,1
Bank of Hazlehurst,[19478],20,3538238.9299999997,512.0,1
"Bank of Hillsboro, National Association",[22110],661,31468422.48,4632.0,1
Bank of Hindman,[27105],88,7502439.230000001,1151.0,1
Bank of Holly Springs,[39223],444,19853516.28,2677.0,0
Bank of Holyrood,[25983],125,4756426.21,493.0,0
Bank of Hope,[110359],9012,797625236.02,116902.0,1
Bank of Houston,[69787],390,98172400.94,9173.0,1
Bank of Idaho,[20158],1667,129114854.66,18658.0,1
Bank of Jackson Hole Trust,[77193],1078,145468907.0,15442.0,1
Bank of Kilmichael,[39477],416,11917276.540000001,1647.0,1
Bank of Kirksville,[41014],456,10254849.350000001,1870.0,1
Bank of Labor,[26056],583,71996226.55999999,6216.0,1
Bank of Lake Mills,[76078],206,10306856.98,1457.0,1
Bank of Lake Village,[4465],171,8796521.0,1012.0,1
Bank of Lincoln County,[263677],241,14548964.719999999,2235.0,1
Bank of Lindsay,[42326],150,3600155.5300000003,403.0,1
Bank of Little Rock,[112924],284,11101859.0,1437.0,1
Bank of Lumber City,[19563],142,3320337.2199999997,394.0,1
Bank of Luxemburg,[76122],1040,44039020.0,6266.0,1
Bank of Madison,[19571],401,24172496.42,3020.0,1
Bank of Maple Plain,[38354],104,4795163.0,532.0,1
Bank of Marin,[113074],3517,547546025.9300001,49632.0,1
Bank of Maysville,[27603],129,2593884.2800000003,488.0,1
Bank of Millbrook,[47426],212,13239829.34,1559.0,1
Bank of Montana,[452198],77,19669478.049999997,1577.0,1
Bank of Monticello,"[19592, 41145]",492,16113302.709999999,1960.0,1
Bank of Moundville,[3157],148,6995891.02,908.0,1
Bank of New England,[43165],393,58092579.96999999,5883.0,1
Bank of New Hampshire,[43105],1375,168231219.07,20592.0,1
Bank of Newington,[19606],105,5018820.0,732.0,1
Bank of O'Fallon,[22208],276,20969828.58,3268.0,1
Bank of Oak Ridge,"[124488, 29192]",1037,81077826.96000002,9715.0,1
Bank of Ocean City,[30804],759,60460863.4,11928.0,1
Bank of Odessa,[41184],337,12413479.670000002,1523.0,1
Bank of Pensacola,[17563],161,13974706.56,1482.0,1
Bank of Pontiac,[22347],1241,68828799.8,7586.0,1
Bank of Prairie Village,[25947],91,3743185.59,475.0,1
Bank of Prairie du Sac,[76694],393,40458404.480000004,4426.0,1
Bank of Rantoul,[22401],286,15475448.620000001,1591.0,1
Bank of Salem,"[4738, 41379]",480,8887383.92,1235.0,1
Bank of San Francisco,[434922],910,258308907.82999998,19662.0,1
Bank of Southern California National Association,[249106],5298,876058877.93,85564.0,0
Bank of Springfield,[22586],1992,195780800.19000003,22253.0,1
Bank of St. Francisville,[29277],380,27670579.670000006,3158.0,1
Bank of Star Valley,[120302],209,13445213.030000001,1658.0,0
Bank of Stockton,[14858],3091,350931602.83000004,42078.0,1
Bank of Sunset & Trust Company,[29313],242,20228313.67,2085.0,1
Bank of Tennessee,[67108],1523,141372913.26000002,20351.0,1
Bank of Utah,[72257],1830,229624696.0,30129.0,1
Bank of Utica,[50298],302,39179430.64,4864.0,1
Bank of Walker County,[377940],112,3846625.0,615.0,1
Bank of Washington,[41743],604,108930600.0,12936.0,1
Bank of Western Oklahoma,[58924],813,36291002.82,3145.0,1
Bank of Weston,[41760],293,15489446.96,2037.0,1
"Bank of Whittier, National Association",[14973],334,15941320.0,2013.0,1
Bank of Winnfield & Trust Company,[29366],109,4009264.55,436.0,1
Bank of Winona,[40074],115,4616594.9399999995,671.0,1
Bank of Wisconsin Dells,[77050],595,67250092.66999999,11155.0,1
Bank of Wrightsville,[19830],146,3755131.03,447.0,1
Bank of Yates City,[22891],101,2176533.5,281.0,1
Bank of Yazoo City,[40078],584,22843145.4,3533.0,1
Bank of York,[66377],415,18151982.07,2745.0,1
Bank of Zachary,[29381],525,43490029.839999996,4758.0,1
Bank of the Bluegrass & Trust Company,[27195],328,18598809.83,2858.0,0
Bank of the Flint Hills,[26643],680,54142877.41,6874.0,1
Bank of the James,[124096],891,100796941.0,13240.0,1
"Bank of the Mountains, Inc.",[27970],101,5178757.819999999,518.0,1
Bank of the Pacific,[74177],1388,196477357.03999996,19548.0,1
Bank of the Rockies,[42019],411,11388266.26,1819.0,1
Bank of the Sierra,[5993],1980,176786225.23000002,27871.0,1
Bank of the Southwest,[46008],302,24714860.0,2503.0,1
Bank of the Valley,[42075],1065,28968553.759999998,3117.0,1
Bank of the West,[110481],1264,123043954.5,14536.0,1
Bank3,[68920],772,70787698.16,5959.0,1
"BankChampaign, National Association",[20457],187,27365352.84,2414.0,1
BankCherokee,[38841],656,73374912.43,8668.0,1
"BankFinancial, National Association",[80144],535,20849548.81,3204.0,1
BankFirst,[42376],1273,41628058.02,5453.0,1
BankFirst Financial Services,[39535],3553,210532151.17,27052.0,1
BankFlorida,[449863],113,15411254.36,1776.0,1
BankGloucester,[89293],481,34767386.77,4032.0,1
BankIowa,[25325],1002,71458799.88,8962.0,1
BankNewport,[65657],2759,213207675.26,26692.0,1
BankNorth,[52663],1170,31660707.77,3960.0,1
BankOkolona,[39656],875,14845127.639999999,2148.0,1
BankOrion,[22231],648,42225704.099999994,4813.0,1
BankPlus,[39099],9168,610194822.19,80430.0,1
BankProv,[30947],609,124292323.88000001,12350.0,1
BankSouth,[121556],1335,98049669.46,11607.0,1
BankTennessee,[122149],509,28771337.52,3389.0,1
"BankUnited, National Association",[464999],4922,1136006291.0,128674.0,1
BankVista,[124444],2041,213762387.64000002,23239.0,1
"BankWest, Inc",[66573],2031,83159841.0,9606.0,0
Bankers Trust Company,[24841],1386,402403403.47,34215.0,1
Bankers' Bank of Kansas,[112541],782,51738867.809999995,5826.0,1
Bankers' Bank of the West,[15209],77,7903196.4,965.0,1
Bankwell Bank,[262358],393,58739255.80000001,5764.0,1
Banner Bank,[79430],13781,1666530913.5100002,175499.0,1
Banner Capital Bank,[42213],761,22443221.93,2453.0,1
Banterra Bank,[21882],1230,115569333.7,12796.0,1
Bar Harbor Bank & Trust,[29575],2954,197130581.59,23945.0,0
Barksdale FCU,[97565],851,21646592.03,3499.0,0
"Barrington Bank & Trust Company, National Association",[121149],1105,208905234.05,18768.0,1
Barwick Banking Company,[19126],67,5359865.0,669.0,1
Bath Savings Institution,[29592],969,66689230.730000004,7985.0,1
Battle Creek State Bank,[42061],37,1171111.15,131.0,1
Baxter CU,[109727],265,6511624.12,714.0,0
Bay Bank,[119174],202,18761218.97,2873.0,1
Bay FCU,[92857],196,3792079.0,592.0,0
Bay Port State Bank,[33579],367,8656181.44,1113.0,1
Bay State Savings Bank,[33497],558,44433521.85000001,5850.0,1
BayCoast Bank,[32784],1910,235840300.76,28743.0,1
BayFirst National Bank,[123499],11986,1200884378.5,134484.0,1
BayVanguard Bank,[89333],1017,80816239.50999999,9635.0,1
Baybank,[34949],341,12932020.32,1809.0,1
"Beacon Business Bank, National Association",[12055],192,30760372.0,2256.0,1
Beacon Community Bank,[518422],723,59749466.0,6318.0,1
"Beardstown Savings, s.b.",[85727],81,2579915.83,442.0,1
Bedford Federal Savings Bank,[81212],210,11843689.77,1473.0,1
Belgrade State Bank,[40121],749,28282126.65,4347.0,1
Bell Bank,[52771],4942,795456206.1999999,75336.0,1
Bellevue State Bank,[24601],307,8300324.0,1121.0,1
Bellwether Community CU,[100703],90,4188331.85,435.0,0
Belmont Bank & Trust Company,[441312],565,101921278.58,9246.0,1
Benchmark Bank,[71639],431,54381573.550000004,6023.0,1
Benchmark Community Bank,[73481],1551,73123871.34,11035.0,1
Bendena State Bank,[25712],286,5298967.36,602.0,1
Beneficial State Bank,[448130],2074,281412533.09,27586.0,1
Benworth Capital,[529192],159432,2579640334.8099995,177511.0,0
Berkshire Bank,[33209],4973,705046361.0,75855.0,1
Bethpage FCU,[101249],818,27074795.020000003,4009.0,0
Better Banks,[21241],342,20121594.0,2535.0,1
"Beverly Bank & Trust Company, National Association",[377941],838,155113903.65,13893.0,1
Black Business Investment Fund Inc.,[473124],514,15916592.709999999,2049.0,0
"Black Hills Community Bank, National Association",[452201],477,41425321.0,5050.0,1
Blackhawk Bank,[117081],1242,140934627.84,16749.0,1
Blackhawk Bank & Trust,[21972],994,68133232.54,9388.0,1
Blissfield State Bank,[33637],27,1392755.7199999997,214.0,1
Bloom CU,[99192],31,1123266.5,138.0,0
Bloomsdale Bank,[40143],376,38108487.0,4377.0,1
Blue FCU,[108538],282,5702574.539999999,712.0,0
Blue Foundry Bank,[85732],1058,95783767.85000001,9335.0,1
Blue Grass Savings Bank,[24609],210,8325987.01,1045.0,1
Blue Ridge Bank and Trust Co.,[40695],539,64749318.66,6938.0,1
"Blue Ridge Bank, National Association",[124336],18403,1081965834.23,110598.0,1
Blue Sky Bank,[59210],1141,103742485.0,11189.0,1
BlueHarbor Bank,[453003],239,23393402.98,2667.0,1
BlueOx CU,[99407],30,1866632.12,207.0,0
Bluestone Bank,[32668],486,57157806.43000001,6012.0,1
Bodcaw Bank,[4779],86,3720036.05,524.0,1
Boeing Empl CU,[107451],4868,164743272.41000003,18946.0,0
Boeing Helicopters CU d/b/a BHCU,[104671],179,14508593.48,1891.0,0
Bogota Savings Bank,[84508],163,17266898.970000003,1582.0,1
Boone Bank & Trust Co.,[24610],175,9176922.259999998,1186.0,1
Boonville Federal Savings Bank,[86245],134,5941034.52,781.0,1
Border Bank,[52775],1324,62630251.97,7769.0,1
Boundary Waters Bank,[124107],110,4926914.9399999995,776.0,0
Bourns Empl FCU,[91539],39,4460696.47,412.0,0
Bradesco Bank,[17158],9,943673.0,135.0,1
