Lender,IDs,Loan Count,Total Amount,Total Employees,Traditional
Little Horn State Bank,[41932],690,24544351.310000002,2581.0,1
Live Oak Banking Company,[455644],14896,2303618064.6099997,277254.0,1
Loan Source Incorporated,[188567],165,21814493.810000006,1532.0,0
Logan State Bank,[25201],343,9957918.600000001,931.0,1
Logansport Savings Bank,[84475],373,19180628.9,2446.0,1
Logix Federal Credit Union,[92189],145,2463733.0,261.0,1
"Lone Star Capital Bank, National Association",[123898],409,49420551.629999995,5374.0,1
Lone Star National Bank,[71592],5096,260785499.15999997,54529.0,1
Lone Star State Bank of West Texas,[69095],727,90662183.34,8925.0,1
Longview Bank,[21835],335,10657693.0,1227.0,1
Longview Bank & Trust,[21132],352,8043976.17,983.0,0
Louisiana Catholic FCU,[97784],17,566577.8300000001,72.0,0
Louisiana FCU,[97759],104,4799854.0,798.0,0
Louisiana National Bank,[28037],389,20209980.93,3875.0,1
Lower East Side People's FCU,[112197],421,15655221.22,976.0,0
Loyal Trust Bank,[527106],1366,69107674.0,9810.0,1
Luana Savings Bank,[25205],663,16846670.68,2185.0,1
Lumbee Guaranty Bank,[50946],536,31181962.86,4826.0,1
Luminate Bank,[36734],396,33193800.0,4314.0,1
Lutheran FCU,[506558],64,6818164.470000002,582.0,0
Lyons Federal Bank,[77805],219,4348722.0,597.0,1
M C Bank & Trust Co.,[28707],645,55339866.230000004,6509.0,0
MA Bank,[41090],543,19353139.270000003,2613.0,1
MAX CU,[91002],301,13281661.790000001,1700.0,0
MBE Capital Partners,[529431],30689,723920679.8599999,76966.0,0
MCNB Bank and Trust Co.,[75431],115,10503987.82,1432.0,1
MNB Bank,[42346],765,31237161.02,3611.0,1
MOCSE FCU,[92322],43,1666178.3,177.0,0
MRV Banks,[448439],257,28547275.77,3459.0,1
"MVB Bank, Inc.",[123130],3257,247512717.17999998,26313.0,1
MY CU,[99822],376,15389750.0,2137.0,0
Mabrey Bank,[58781],1702,179961045.48000002,18730.0,1
Macatawa Bank,[122493],2590,471831080.0,51259.0,1
Machias Savings Bank,[29760],3314,241266545.98999998,29662.0,1
Macon Bank and Trust Company,[68797],629,19138609.57,2467.0,1
Madison County Community Bank,[123975],183,9064533.39,1511.0,1
Madison Valley Bank,[41911],489,25184203.309999995,3050.0,1
Magnifi Financial CU,[99711],3639,130672827.72999999,16379.0,0
Magnolia Bank Incorporated,[27585],504,17967727.16,2136.0,0
Magnolia State Bank,"[39096, 19419]",782,53151094.4,7409.0,1
Magyar Bank,[87737],550,91129564.0,9206.0,1
Main Bank,[45715],462,76432684.09,8037.0,1
Main Street Bank,[33042],868,102557357.27,10433.0,1
Main Street Bank Corp.,[224857],579,36434234.92999999,4534.0,1
MainStreet Bank,[378264],1619,262056045.27,27175.0,1
Maine Community Bank,[29614],1002,108814250.0,11966.0,1
Maine Savings FCU,[97869],369,7334366.0,1241.0,0
Maine State CU,[97933],184,4668860.6,584.0,0
Mainstreet Community Bank of Florida,[342931],1102,92232987.98,12154.0,1
Mainstreet FCU,[97222],210,3662897.3,508.0,0
Malaga Bank FSB,[90461],310,21511775.0,2640.0,0
Malvern Bank,[25210],278,14749633.629999999,1814.0,1
"Malvern Bank, National Association",[78035],242,20560424.37,2164.0,0
Manasquan Bank,[87220],1734,255897816.65,26192.0,1
Manhattan Bank,[41969],216,9256295.420000002,1278.0,1
Manufacturers Bank,[5690],958,275618263.0,33163.0,1
Manufacturers Bank & Trust Company,[25006],1365,45016947.620000005,5870.0,1
Manufacturers and Traders Trust Company,[46391],87589,13219475793.069996,1405106.0,1
"Maple City Savings Bank, FSB",[79702],189,7883378.2700000005,916.0,1
MapleMark Bank,[69803],117,40355810.61999998,4122.0,1
Maquoketa State Bank,[25227],691,18841046.22,2479.0,1
Marathon Bank,[82966],230,17837620.560000002,1864.0,1
Marblehead Bank,[33039],365,16463875.74,1855.0,1
MariSol FCU,[91333],142,4141200.0,589.0,0
Marine Bank,[22608],1272,55545600.470000006,7550.0,0
Marine Bank & Trust Company,[121441],1188,92692645.13,11253.0,1
