"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01001","AGAWAM, MA","G",9555,"G",98558,"G",416529,473,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA","H",7972,"H",71611,"H",306613,539,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA","G",291,"H",2525,"H",10731,20,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","H",225,"H",1503,"H",6549,14,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA","H",1216,"H",8684,"H",39486,91,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA","G",1947,"G",14622,"G",60350,222,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA","G",170,"G",809,"G",3513,20,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","H",128,"H",1380,"G",5647,16,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA","G",473,"G",5407,"G",24552,86,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA","H",41,"G",260,"H",1132,11,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","H",48,"J",323,"H",1452,9,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA","G",4895,"H",47342,"H",202253,326,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA","G",9018,"G",94258,"G",377850,538,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA","H",230,"G",1529,"G",6709,8,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA","G",2383,"G",27896,"G",114108,66,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA","H",293,"H",3132,"H",13381,21,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA","G",3886,"G",38309,"G",156267,430,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA","G",8309,"G",84846,"G",352932,524,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","G",198,"H",1431,"H",7250,16,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA","H",1119,"G",8109,"G",35800,214,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA","G",69,"G",334,"G",1752,20,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA","G",117,"G",990,"G",4708,25,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA","G",813,"G",6798,"G",32023,127,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA","H",100,"H",1025,"H",4764,31,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA","G",5439,"G",43007,"G",177116,311,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA","G",957,"G",8006,"G",37811,119,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","J",294,"J",3335,"J",13927,20,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA","H",1459,"H",17735,"H",76697,65,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA","H",274,"H",2525,"H",11110,31,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA","G",16950,"G",192846,"G",752128,850,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA","G",1093,"H",10387,"H",42025,25,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA","H",194,"H",1362,"H",5819,30,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA","H",1696,"H",29900,"H",116223,32,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA","H",133,"G",1071,"G",4910,37,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA","G",4289,"G",43761,"G",208572,412,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA","G",783,"H",8334,"H",39396,139,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA","G",66,"G",525,"G",2207,7,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA","G",11851,"G",129444,"G",534316,738,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA","G",109,"G",1294,"G",5917,16,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA","G",1852,"G",18747,"G",72472,196,"FLORENCE","MA","HAMPSHIRE"
"01063","NORTHAMPTON, MA","J",3077,"J",20762,"J",92605,3,"NORTHAMPTON","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","J",71,"J",1328,"J",5173,8,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","H",79,"G",808,"G",4267,29,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA","G",3515,"G",38278,"G",172110,260,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA","H",34,"H",152,"H",649,8,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA","G",83,"H",468,"G",2474,21,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA","H",65,"G",305,"G",2014,19,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA","G",1088,"G",8672,"G",39515,126,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA","G",63,"J",432,"J",2438,8,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA","H",4733,"G",38356,"G",160848,310,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA","G",2084,"G",18346,"G",84915,217,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA","H",68,"G",687,"G",3067,11,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA","G",397,"H",3289,"H",14237,44,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA","J",72,"H",589,"G",2169,19,"WALES","MA","HAMPDEN"
"01082","WARE, MA","G",1945,"H",20303,"H",78041,162,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA","H",258,"H",3412,"H",13302,38,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA","H",30,"J",267,"J",1612,4,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA","G",13884,"G",151698,"G",636434,848,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","H",672,"J",4898,"J",24925,16,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA","H",311,"G",3122,"G",13207,31,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA","G",16001,"G",156705,"G",634950,950,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA","H",112,"G",1512,"G",7348,20,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA","J",66,"J",506,"H",2317,14,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA","H",692,"J",7847,"H",32582,32,"WHATELY","MA","FRANKLIN"
"01095","WILBRAHAM, MA","G",4274,"G",38310,"G",167631,295,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA","G",371,"G",3041,"G",13211,52,"WILLIAMSBURG","MA","HAMPSHIRE"
