ZIP,Num Farms,Num Estabs,Total Emp Bus,Min Share,Black Share,Number of Loans_1,Total Loans Amount_1,Total Employees_1,Number of Loans_2,Total Loans Amount_2,Total Employees_2,Number of Loans_3,Total Loans Amount_3,Total Employees_3
30360,0.0,488.0,488.0,0.4222001366544505,0.1095720231070252,51,3521658.92,450,168,5532845.49,925,151,5594311.86,724
30361,0.0,177.0,177.0,,,12,777370.39,60,36,1735198.15,140,35,1556265.8099999998,156
30362,0.0,12.0,12.0,,,0,0.0,0,1,1250.0,1,0,0.0,0
30363,0.0,188.0,188.0,0.5934135528815706,0.2560692421363732,8,477183.0,54,55,2524636.83,333,57,2317256.06,194
30364,1.0,11.0,12.0,,,1,58800.0,25,3,137041.0,11,0,0.0,0
30366,0.0,6.0,6.0,,,0,0.0,0,2,16146.0,5,0,0.0,0
30371,0.0,4.0,4.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30374,0.0,3.0,3.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30375,0.0,7.0,7.0,,,0,0.0,0,1,3750.0,1,0,0.0,0
30377,0.0,3.0,3.0,,,0,0.0,0,2,70656.0,10,0,0.0,0
30380,0.0,7.0,7.0,,,0,0.0,0,0,0.0,0,1,20832.0,1
30396,0.0,3.0,3.0,,,0,0.0,0,0,0.0,0,0,0.0,0
30401,130.0,292.0,422.0,0.4544791362707907,0.3998395097753137,69,2661425.77,483,41,1197076.75,252,70,1842554.2200000002,281
30410,40.0,19.0,59.0,0.1070840197693574,0.0900604063701263,10,600191.0,76,4,56783.05,15,9,150858.2,28
30411,57.0,32.0,89.0,0.4374639769452449,0.4353506243996157,10,652065.5,81,5,178279.8,21,8,466777.86,54
30412,6.0,0.0,6.0,0.0,0.0,2,33750.0,7,0,0.0,0,1,22380.0,5
30413,78.0,17.0,95.0,0.3846153846153846,0.383322559793148,6,305000.0,45,5,88915.0,9,6,105519.77,26
30414,3.0,4.0,7.0,,,2,36985.0,5,0,0.0,0,0,0.0,0
30415,103.0,95.0,198.0,0.1272321428571429,0.0978954081632653,25,1418506.15,216,25,936005.14,145,21,796276.47,82
30417,162.0,207.0,369.0,0.4162296176218175,0.2842566987699056,57,2685383.8600000003,417,24,638956.42,93,50,1723267.3900000001,262
30420,48.0,19.0,67.0,0.2652582159624413,0.109546165884194,4,93025.0,13,7,107409.0,21,12,276955.3,70
30421,108.0,30.0,138.0,0.2509337860780984,0.1385398981324278,7,383820.33999999997,79,7,113553.8,19,15,259850.77,31
