"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"93650","FRESNO, CA","G",2339,"G",23132,"G",100104,102,"FRESNO","CA","FRESNO"
"93651","PRATHER, CA","H",275,"H",2011,"H",9173,38,"PRATHER","CA","FRESNO"
"93652","RAISIN CITY, CA","G",8,"G",65,"G",295,4,"RAISIN CITY","CA","FRESNO"
"93653","RAYMOND, CA","H",89,"J",961,"J",4704,13,"RAYMOND","CA","MADERA"
"93654","REEDLEY, CA","G",5293,"G",55398,"G",255695,395,"REEDLEY","CA","FRESNO"
"93656","RIVERDALE, CA","G",304,"G",3037,"G",13606,44,"RIVERDALE","CA","FRESNO"
"93657","SANGER, CA","G",5388,"G",52517,"G",230778,441,"SANGER","CA","FRESNO"
"93660","SAN JOAQUIN, CA","H",1413,"J",44914,"J",181933,28,"SAN JOAQUIN","CA","FRESNO"
"93662","SELMA, CA","G",7183,"G",77483,"G",337336,423,"SELMA","CA","FRESNO"
"93664","SHAVER LAKE, CA","G",251,"G",2920,"G",12393,52,"SHAVER LAKE","CA","FRESNO"
"93665","SOUTH DOS PALOS, CA","J",1,"J",19,"H",397,3,"SOUTH DOS PALOS","CA","MERCED"
"93666","SULTANA, CA","H",22,"J",284,"J",1196,3,"SULTANA","CA","TULARE"
"93667","TOLLHOUSE, CA","H",70,"H",708,"H",3904,19,"TOLLHOUSE","CA","FRESNO"
"93668","TRANQUILLITY, CA","G",40,"H",291,"G",1270,9,"TRANQUILLITY","CA","FRESNO"
"93669","WISHON, CA","J",20,"J",227,"J",2236,4,"WISHON","CA","MADERA"
"93673","TRAVER, CA","J",293,"H",4214,"H",19981,15,"TRAVER","CA","TULARE"
"93675","SQUAW VALLEY, CA","H",130,"G",915,"H",4356,25,"SQUAW VALLEY","CA","FRESNO"
"93701","FRESNO, CA","G",4898,"G",124866,"G",521123,205,"FRESNO","CA","FRESNO"
"93702","FRESNO, CA","H",4953,"H",49065,"H",207794,333,"FRESNO","CA","FRESNO"
"93703","FRESNO, CA","G",6839,"G",77252,"H",344465,424,"FRESNO","CA","FRESNO"
"93704","FRESNO, CA","G",6400,"G",84756,"G",382803,606,"FRESNO","CA","FRESNO"
"93705","FRESNO, CA","G",2465,"G",20180,"G",121921,224,"FRESNO","CA","FRESNO"
"93706","FRESNO, CA","G",15610,"G",179438,"G",769877,594,"FRESNO","CA","FRESNO"
"93710","FRESNO, CA","G",21937,"G",191323,"G",875477,1240,"FRESNO","CA","FRESNO"
"93711","FRESNO, CA","G",20333,"G",273731,"G",1211880,1684,"FRESNO","CA","FRESNO"
"93718","FRESNO, CA","J",34,"J",559,"J",2671,3,"FRESNO","CA","FRESNO"
"93720","FRESNO, CA","G",25961,"H",349382,"G",1562280,1707,"FRESNO","CA","FRESNO"
"93721","FRESNO, CA","G",16350,"H",215326,"H",993675,662,"FRESNO","CA","FRESNO"
"93722","FRESNO, CA","G",16066,"G",157889,"G",714212,1392,"FRESNO","CA","FRESNO"
"93723","FRESNO, CA","G",655,"G",5364,"G",28223,149,"FRESNO","CA","FRESNO"
"93725","FRESNO, CA","G",20707,"G",258307,"G",1155444,646,"FRESNO","CA","FRESNO"
"93726","FRESNO, CA","G",11119,"H",139102,"H",582123,665,"FRESNO","CA","FRESNO"
"93727","FRESNO, CA","G",21327,"G",236580,"G",1030358,1348,"FRESNO","CA","FRESNO"
"93728","FRESNO, CA","G",3494,"G",32470,"G",147009,279,"FRESNO","CA","FRESNO"
"93729","FRESNO, CA","J",69,"J",617,"J",3446,16,"FRESNO","CA","FRESNO"
"93730","FRESNO, CA","G",1141,"G",12411,"G",58859,218,"FRESNO","CA","FRESNO"
"93737","FRESNO, CA","J",270,"H",2449,"H",11956,57,"FRESNO","CA","FRESNO"
"93740","FRESNO, CA","J",313,"J",2504,"J",10869,14,"FRESNO","CA","FRESNO"
"93744","FRESNO, CA","G",12,"J",75,"H",342,5,"FRESNO","CA","FRESNO"
"93745","FRESNO, CA","H",162,"H",1834,"H",8730,10,"FRESNO","CA","FRESNO"
"93747","FRESNO, CA","G",21,"G",141,"H",807,3,"FRESNO","CA","FRESNO"
"93755","FRESNO, CA","G",2,"J",22,"H",117,3,"FRESNO","CA","FRESNO"
"93772","FRESNO, CA","H",26,"H",257,"H",1242,3,"FRESNO","CA","FRESNO"
"93790","FRESNO, CA","H",48,"J",1426,"H",4083,4,"FRESNO","CA","FRESNO"
"93901","SALINAS, CA","G",20831,"H",322440,"H",1424438,1370,"SALINAS","CA","MONTEREY"
"93902","SALINAS, CA","G",482,"G",6858,"G",28366,22,"SALINAS","CA","MONTEREY"
"93905","SALINAS, CA","G",4081,"G",36809,"G",164342,509,"SALINAS","CA","MONTEREY"
"93906","SALINAS, CA","G",8888,"G",94788,"G",414829,688,"SALINAS","CA","MONTEREY"
"93907","SALINAS, CA","G",5503,"G",61462,"G",278966,454,"SALINAS","CA","MONTEREY"
"93908","SALINAS, CA","G",3748,"G",43603,"G",228850,312,"SALINAS","CA","MONTEREY"
"93912","SALINAS, CA","G",133,"H",2640,"H",9881,15,"SALINAS","CA","MONTEREY"
"93920","BIG SUR, CA","H",964,"H",8107,"H",49856,48,"BIG SUR","CA","MONTEREY"
"93921","CARMEL BY THE SEA, CA","G",2185,"G",21874,"G",114798,299,"CARMEL BY THE SEA","CA","MONTEREY"
"93922","CARMEL, CA","J",106,"J",4147,"J",15062,14,"CARMEL","CA","MONTEREY"
"93923","CARMEL, CA","G",4499,"G",57324,"G",256472,553,"CARMEL","CA","MONTEREY"
"93924","CARMEL VALLEY, CA","G",1213,"G",11273,"H",60502,217,"CARMEL VALLEY","CA","MONTEREY"
"93925","CHUALAR, CA","J",207,"J",3871,"J",18406,13,"CHUALAR","CA","MONTEREY"
"93926","GONZALES, CA","H",2005,"H",23053,"H",114277,109,"GONZALES","CA","MONTEREY"
"93927","GREENFIELD, CA","G",1293,"H",14168,"G",64659,139,"GREENFIELD","CA","MONTEREY"
"93928","JOLON, CA","G",78,"H",1477,"H",6198,6,"JOLON","CA","MONTEREY"
"93930","KING CITY, CA","G",2062,"G",25481,"G",115859,199,"KING CITY","CA","MONTEREY"
"93932","LOCKWOOD, CA","J",17,"J",319,"H",633,6,"LOCKWOOD","CA","MONTEREY"
"93933","MARINA, CA","G",3817,"G",37323,"G",165076,369,"MARINA","CA","MONTEREY"
"93940","MONTEREY, CA","G",25694,"H",354877,"H",1610434,1766,"MONTEREY","CA","MONTEREY"
"93942","MONTEREY, CA","G",70,"H",1270,"H",6477,13,"MONTEREY","CA","MONTEREY"
"93943","MONTEREY, CA","J",88,"J",2143,"J",8944,7,"MONTEREY","CA","MONTEREY"
"93944","MONTEREY, CA","H",123,"G",1351,"H",6356,17,"MONTEREY","CA","MONTEREY"
"93950","PACIFIC GROVE, CA","G",3070,"G",29264,"G",136330,426,"PACIFIC GROVE","CA","MONTEREY"
"93953","PEBBLE BEACH, CA","H",1859,"H",23096,"H",157139,78,"PEBBLE BEACH","CA","MONTEREY"
"93955","SEASIDE, CA","G",7166,"G",64812,"G",297246,652,"SEASIDE","CA","MONTEREY"
"93960","SOLEDAD, CA","H",2400,"H",27358,"H",114170,181,"SOLEDAD","CA","MONTEREY"
"93962","SPRECKELS, CA","J",39,"H",295,"H",1355,8,"SPRECKELS","CA","MONTEREY"
"94002","BELMONT, CA","G",7033,"H",218132,"H",938971,699,"BELMONT","CA","SAN MATEO"
"94005","BRISBANE, CA","H",8023,"G",236887,"H",908653,262,"BRISBANE","CA","SAN MATEO"
"94010","BURLINGAME, CA","G",25989,"G",500645,"G",2295304,2221,"BURLINGAME","CA","SAN MATEO"
"94011","BURLINGAME, CA","G",21,"G",243,"G",1008,9,"BURLINGAME","CA","SAN MATEO"
"94014","DALY CITY, CA","G",9518,"G",237167,"G",909881,641,"DALY CITY","CA","SAN MATEO"
"94015","DALY CITY, CA","G",11196,"G",139458,"G",597727,830,"DALY CITY","CA","SAN MATEO"
"94017","DALY CITY, CA","H",314,"J",11677,"J",47383,8,"DALY CITY","CA","SAN MATEO"
"94018","EL GRANADA, CA","H",461,"G",5343,"H",26157,76,"EL GRANADA","CA","SAN MATEO"
"94019","HALF MOON BAY, CA","G",3910,"G",45914,"G",233310,488,"HALF MOON BAY","CA","SAN MATEO"
"94020","LA HONDA, CA","J",125,"J",1109,"J",6045,30,"LA HONDA","CA","SAN MATEO"
