"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","J",41,"J",232,"J",892,3,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA","G",9559,"G",104905,"G",433575,473,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA","H",8410,"H",71828,"H",297543,543,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA","G",247,"H",2567,"H",10370,17,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","H",203,"H",1595,"H",6443,13,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA","H",1060,"H",8392,"H",36510,91,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA","G",1794,"G",14511,"G",58874,225,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA","G",215,"G",1060,"G",4144,20,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","G",131,"G",1432,"G",5555,16,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA","G",422,"H",5007,"H",22361,83,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA","H",29,"H",241,"H",1067,12,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","J",56,"H",393,"H",1632,9,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA","G",5342,"H",53627,"H",221834,313,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA","G",8998,"G",92604,"G",381036,545,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA","G",202,"G",1404,"G",6088,6,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA","G",2377,"G",30696,"G",118598,63,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA","H",344,"H",3750,"H",14366,20,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA","G",4007,"G",40000,"G",162008,423,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA","G",8697,"G",86814,"G",358012,519,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","H",202,"H",1504,"H",6770,17,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA","G",1087,"G",8016,"G",37644,221,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA","G",74,"G",410,"G",1990,20,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA","H",116,"G",984,"G",5007,25,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA","G",802,"G",6884,"G",32027,130,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA","H",102,"H",1068,"H",5266,30,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA","G",5495,"G",46363,"G",179511,311,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA","G",962,"G",8378,"G",40274,116,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","J",271,"J",3389,"J",14626,17,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA","H",1437,"H",18759,"H",77835,63,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA","H",295,"H",2767,"H",11929,33,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA","G",17314,"G",201346,"G",779855,852,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA","G",955,"H",9690,"H",39173,24,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA","H",198,"H",1402,"H",5916,31,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA","H",1692,"H",30628,"H",119705,30,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA","J",73,"H",514,"G",2760,34,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA","G",4548,"G",46855,"G",214173,414,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA","H",796,"H",9094,"H",41269,138,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA","G",68,"G",548,"G",2293,7,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA","G",11955,"G",134596,"G",559227,731,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA","G",100,"H",1177,"H",5888,19,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA","G",1779,"G",19578,"G",76274,206,"FLORENCE","MA","HAMPSHIRE"
"01063","NORTHAMPTON, MA","J",3111,"J",21427,"J",96169,3,"NORTHAMPTON","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","J",75,"J",1466,"J",4946,8,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","G",68,"G",798,"G",3941,30,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA","G",3388,"G",38282,"G",176013,249,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA","J",26,"H",151,"H",783,10,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA","J",77,"G",594,"G",2811,19,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA","J",70,"G",453,"H",3021,22,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA","H",1158,"G",9607,"G",42725,130,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA","G",55,"J",438,"J",2559,8,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA","H",4783,"H",39060,"H",164080,312,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA","G",2172,"G",19473,"G",86858,216,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA","H",54,"G",483,"G",2473,12,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA","H",386,"H",3468,"H",15355,43,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA","G",91,"G",486,"G",2330,18,"WALES","MA","HAMPDEN"
"01082","WARE, MA","G",1975,"H",22417,"H",81965,171,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA","G",228,"H",3364,"H",11877,37,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA","J",27,"J",228,"J",1190,4,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA","G",13840,"G",158650,"G",666906,859,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","J",811,"J",6583,"J",33999,15,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA","G",302,"G",3129,"G",13149,30,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA","G",15650,"G",157944,"G",652563,952,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA","G",111,"G",1491,"G",7276,21,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA","J",79,"J",617,"H",2862,16,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA","H",690,"J",7775,"H",32005,33,"WHATELY","MA","FRANKLIN"
"01095","WILBRAHAM, MA","G",3953,"G",35341,"G",148250,289,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA","G",366,"H",3154,"G",12874,51,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA","G",114,"H",910,"H",4039,19,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA","H",179,"H",1523,"H",6442,13,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA","H",2834,"H",47033,"H",181460,17,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA","H",8144,"H",93045,"H",357626,425,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA","G",15983,"H",244430,"H",993672,508,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA","G",6582,"G",62831,"G",255307,271,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA","H",3762,"H",32217,"H",133476,274,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA","G",2506,"G",39667,"G",171938,148,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA","G",2269,"G",16615,"G",71822,251,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA","H",7724,"H",54152,"H",229712,291,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","J",3432,"J",188907,"J",432443,7,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA","G",794,"H",31649,"H",87213,40,"SPRINGFIELD","MA","HAMPDEN"
"01118","SPRINGFIELD, MA","G",1391,"G",11704,"G",48684,132,"SPRINGFIELD","MA","HAMPDEN"
"01119","SPRINGFIELD, MA","H",3868,"H",29853,"H",118793,145,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA","G",854,"G",5150,"G",19831,46,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA","G",1936,"G",12736,"G",52704,150,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA","J",18,"H",119,"H",613,4,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA","H",1320,"H",28865,"H",104054,49,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA","H",2170,"H",37216,"H",145304,137,"INDIAN ORCHARD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","J",6920,"J",102607,"J",392469,6,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA","G",23386,"G",304947,"G",1234870,1250,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA","H",330,"J",9088,"J",32398,26,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA","G",1467,"G",14830,"G",63046,155,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA","H",44,"H",536,"H",2103,15,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA","J",247,"H",2314,"H",12849,44,"BECKET","MA","BERKSHIRE"
"01224","BERKSHIRE, MA","J",15,"H",170,"H",704,4,"BERKSHIRE","MA","BERKSHIRE"
"01225","CHESHIRE, MA","H",380,"H",3986,"H",17786,51,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA","H",1331,"H",27328,"H",78064,118,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA","H",40,"H",182,"H",912,6,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA","J",10,"J",136,"H",1028,4,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA","G",4729,"G",47732,"G",198065,411,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA","H",129,"G",1184,"G",7119,44,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA","H",405,"H",3334,"H",14345,45,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBOROUGH, MA","G",1450,"G",9300,"G",35749,101,"LANESBOROUGH","MA","BERKSHIRE"
"01238","LEE, MA","G",2861,"G",24477,"G",103729,267,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA","G",3478,"G",28978,"G",129577,250,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA","J",124,"H",1067,"H",4615,13,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA","G",35,"J",247,"J",1013,7,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA","J",70,"J",850,"J",3413,4,"MILL RIVER","MA","BERKSHIRE"
